row ID,SMILES,apol,ast_fraglike,ast_fraglike_ext,ast_violation,a_acid,a_aro,a_base,a_donacc,a_ICM,a_nCl,a_nF,a_nN,a_nP,a_nS,balabanJ,BCUT_SLOGP_0,BCUT_SLOGP_2,BCUT_SLOGP_3,BCUT_SMR_0,BCUT_SMR_1,b_1rotN,b_1rotR,b_double,b_max1len,b_triple,chiral,chiral_u,density,diameter,FCharge,GCUT_PEOE_0,GCUT_PEOE_1,GCUT_PEOE_2,GCUT_PEOE_3,GCUT_SLOGP_0,GCUT_SLOGP_1,GCUT_SLOGP_2,GCUT_SMR_0,GCUT_SMR_1,GCUT_SMR_2,h_emd_C,h_logP,h_logS,h_log_dbo,h_log_pbo,h_pavgQ,h_pKa,h_pKb,h_pstates,h_pstrain,Kier3,KierA2,lip_violation,logP(o/w),mutagenic,opr_brigid,opr_leadlike,PEOE_RPC+,PEOE_RPC-,PEOE_VSA+0,PEOE_VSA+1,PEOE_VSA+2,PEOE_VSA+3,PEOE_VSA+5,PEOE_VSA+6,PEOE_VSA-0,PEOE_VSA-1,PEOE_VSA-2,PEOE_VSA-3,PEOE_VSA-4,PEOE_VSA-5,PEOE_VSA_FHYD,PEOE_VSA_FNEG,PEOE_VSA_FPNEG,PEOE_VSA_NEG,PEOE_VSA_PNEG,petitjean,reactive,rsynth,SlogP_VSA1,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,SMR_VSA0,SMR_VSA1,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,VAdjEq,VAdjMa,VDistEq,vsa_acc,vsa_base,vsa_don,vsa_hyd,vsa_other,weinerPath,Active
Row0,O[C@H]1[C@H](O)C[C@@H](O)[C@H](O)C1O,22.571516,0,0,2,0,0,0,10,1.4740417,0,0,0,0,0,2.6253583,-2.9161456,0.52801752,2.6482008,-2.5417173,-0.54436624,0,0,0,3,0,4,0,0.86770099,5,0,-0.79549783,-0.42935893,0.18851022,2.486918,-0.95239037,-0.58834678,-0.009132592,-0.52344096,-0.27719682,0.22286512,3.1864941,-1.9160527,1.0672389,0,0,0,14,14,1,0,1.6,3.1640625,0,-2.4849999,0,6,1,0.10837379,0.20077738,17.232086,31.136787,14.714787,0,0,0,0,0,0,0,0,0,0.41085544,0.25294477,0.25294477,38.8377,38.8377,0.40000001,0,0,0,32.343246,0,0,0,0,0,18.868406,0,0,126.92613,0,32.343246,0,18.868406,0,0,0.68403846,4.4594316,2.1073608,0,0,0,58.101093,0,140,1
Row1,S(=O)(=O)(O[C@H]1[C@@H](O)[C@H](O)[C@@H](C)O[C@H]1C)[O-],29.50231,0,0,1,3,0,0,6,1.6856161,0,0,0,0,1,2.7022376,-2.8941026,0.42878842,2.6436882,-2.5270793,-0.30927131,2,0.13333334,0,4,0,5,0,0.96003538,7,-1,-0.80718637,-0.4231762,0.060890324,2.5392718,-0.94751418,-0.4939,-0.010421228,-0.52138942,-0.19162016,0.11005271,4.4601135,-0.7743243,-0.75034744,1.8739778,0,-1,14,14,1,0,3.2256,4.9955106,0,-1.294,0,6,1,0.15975337,0.16815001,29.857702,53.194027,4.9049287,0,0,0,37.495354,0,0,0,0,48.024784,0.57782942,0.49976757,0.32706472,108.50407,71.00872,0.42857143,0,0,72.25753,61.689129,0,0,0,0,0,0,66.652031,91.802834,50.770454,0,32.343246,0,0,0,76.452614,0.56650949,4.9068904,2.6202476,55.473637,0,0,101.1095,16.512768,346,1
Row2,O=C(OC)CC(O)CCC,24.061102,1,0,0,0,0,0,3,1.3470733,0,0,0,0,0,3.2847483,-2.6022568,0.24097353,2.671988,-2.3874333,-0.099598162,4,0.44444445,1,6,0,1,1,0.71218961,7,0,-0.7973032,-0.35774848,-0.041099254,2.2576277,-0.87506479,-0.29391587,-0.027436055,-0.52973545,-0.16178237,0.014242694,4.2509727,0.9163155,-0.88534933,0,0.95508564,0,14,14,1,0,5.5308642,5.1582298,0,0.97100002,0,0,1,0.23604983,0.34935755,63.386131,30.667786,0,0,14.708499,0,8.701313,27.44899,0,0,0,13.566921,0.7270928,0.33499083,0.13311854,59.988522,23.838217,0.42857143,0,0.69999999,7.7454643,41.330753,0,0,35.383869,0,0,56.605217,33.326015,34.862103,25.385227,0,6.4686494,0,56.605217,7.7454643,68.709885,0.68007702,4.1699252,2.5886874,13.566921,0,0,120.95088,17.212255,138,1
Row3,O=COCC(C)C,17.07193,1,1,0,0,0,0,1,1.3328204,0,0,0,0,0,2.6963134,-2.5585816,0.123,2.6152847,-2.3570817,0.051928848,2,0.33333334,1,4,0,0,0,0.69063765,5,0,-0.78272712,-0.28136942,-0.11434593,2.061672,-0.84846866,-0.22022922,-0.037,-0.52975392,-0.11604419,-0.054299999,3.2737808,0.85742265,-0.76654887,0,0.95524836,0,14,14,1,0,6,3.4975834,0,1.475,0,0,1,0.34133732,0.43483517,29.857702,23.482065,4.2653861,0,0,0,0,37.495354,0,0,0,13.566921,0.69964886,0.39408216,0.11823103,53.566032,16.070677,0.40000001,0,0.71428573,0,57.065178,20.926258,4.4107962,0,0,0,0,66.652031,34.862103,0,4.4107962,0,0,0,20.926258,88.855103,0.80309099,3.5849626,2.2125823,13.566921,0,0,83.083916,30.81221,52,1
Row4,O=C/C=C/c1ccc(OC)cc1,25.871929,1,1,0,0,6,0,2,1.3485879,0,0,0,0,0,2.115804,-2.2455378,0.72671771,2.3768432,-1.9673141,-0.46989241,3,0.25,2,2,0,0,0,0.69750726,9,0,-0.78922904,-0.39642301,0.08293546,2.0969636,-0.88675308,-0.26386139,0.16445385,-0.48338884,-0.20430526,0.19305076,4.5296412,2.3267171,-2.3461828,0,5.1055455,0,14,14,1,0,3.515625,3.6962118,0,2.4330001,1,7,1,0.15743718,0.38272128,24.997658,46.846992,22.770269,0,0,0,38.973251,36.764713,0,0,0,13.566921,0.91379482,0.49247336,0.086205184,91.80864,16.070677,0.44444445,1,0.91666669,0,44.007435,0,3.185575,35.383869,0,88.215919,17.643185,5.2434282,23.862217,10.999887,0,8.4290028,0,88.215919,17.643185,55.529087,0.65002245,4.5849624,2.8478248,16.070677,0,0,141.17645,22.058474,226,1
Row5,Oc1cc2OCC(c3ccc(O)cc3)Cc2cc1,38.141102,1,1,0,0,12,0,5,1.354337,0,0,0,0,0,1.5473821,-2.5746908,0.80348372,2.6494062,-2.3385916,-0.53439981,1,0.050000001,0,2,0,1,1,0.73207587,11,0,-0.78162056,-0.42633262,0.099391021,2.5347393,-0.88956559,-0.33256319,0.163644,-0.50635183,-0.23847379,0.21157365,3.8717856,2.4303057,-3.0234993,0,6.6891546,-0.00677263,9.1677227,14,1.0462723,0.004044674,2.9629629,4.1064415,0,2.9219999,0,17,1,0.15527059,0.25709906,12.796158,78.715324,0,0,0,0,62.138008,36.764713,0,0,0,0,0.83113509,0.51043582,0.078737356,116.94156,18.038837,0.45454547,0,1,0,0,20.926258,6.37115,18.868406,4.4107962,123.50229,0,15.730285,0,61.77034,0,26.51223,0,142.3707,20.926258,0,0.53921634,5.321928,3.111517,2.503756,0,0,180.5276,0,623,0
Row6,O=C1c2c(O)cc(CO)cc2[C@H]([C@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O2)c2c1c(O)ccc2,58.847446,0,0,3,0,12,0,16,1.4912957,0,0,0,0,0,1.7378324,-2.9166596,0.61444819,2.6768274,-2.5338316,-0.59664911,3,0.090909094,1,4,0,6,0,0.82457578,10,0,-0.79599673,-0.47206339,0.20645592,2.972995,-0.95242679,-0.41602814,0.019643486,-0.52188927,-0.28626648,0.27304029,6.8273773,0.32537258,-2.3723843,0,7.6417117,-1.0144448,-9.7138252,14,1.0892067,22.952063,3.8655953,7.4179006,1,-0.31900001,0,22,0,0.06030415,0.10886814,4.2653861,115.85704,19.619715,8.458519,0,0,31.135427,36.764713,0,0,0,13.566921,0.602265,0.38555855,0.19632335,138.3436,70.443459,0.5,1,0.033333335,5.6876111,43.343136,20.926258,39.790092,0,4.4107962,88.215919,0,31.413115,34.862103,177.69658,0,63.168774,0,109.14218,26.613869,0,0.37824166,6.044394,3.1142747,16.070677,0,0,195.6203,8.458519,2054,0
Row7,O(C)C1(C)C(OC2C(O)C(N(C)C)CC(C)O2)C(C)C(OC2OC(C)C(O)C(OC)(C)C2)C(C)C(=O)OC(CC)C(O)(C)C(O)C(C)C(=O)C(C)C1,124.41472,0,0,3,0,0,0,17,1.3898125,0,0,1,0,0,2.2121906,-2.9128621,0.32279649,2.7787206,-2.5954459,-0.26175544,8,0.14814815,2,5,0,18,18,0.72653437,14,0,-0.85631603,-0.32661736,-0.083474942,3.570291,-0.9631409,-0.32363093,-0.037,-0.53469998,-0.20048891,0.07443057,18.75663,0.68013698,-4.0703325,0,1.6447196,0.95271212,14,5.6957879,1.2097948,1.8191975,10.123967,17.853701,2,3.1247399,0,26,0,0.049883626,0.072293691,270.8465,97.675751,18.268377,22.309816,14.708499,0,166.3197,93.738388,0,0,0,27.133842,0.83551449,0.41926694,0.094557196,335.78839,75.730293,0.42857143,1,0.51923078,16.557388,197.50781,0,17.643185,136.56212,0,0,75.473625,333.26016,124.72365,104.66522,17.643185,72.784164,0,75.473625,13.433075,469.82227,0.24202083,6.7548876,3.6708479,42.15638,0,0,579.63611,55.087772,9201,0
Row8,O(C)c1c(O)cc([C@H]2Oc3c(c(O)cc(O)c3)C(=O)C2)cc1,42.307102,0,0,2,0,12,0,9,1.4806821,0,0,0,0,0,1.6512364,-2.4281452,0.74750113,2.6411519,-2.2420492,-0.52123845,2,0.083333336,1,2,0,1,0,0.80451339,11,0,-0.7831797,-0.48844165,0.095985658,2.5380726,-0.88688111,-0.34892759,0.15483166,-0.49697798,-0.24118868,0.24601126,5.2536974,1.8343015,-3.035702,0,8.0048456,-0.58515853,6.8762412,14,3.0514657,0.51022905,3.4404707,5.1413884,0,2.3710001,0,17,1,0.10008426,0.16556293,42.229744,70.877502,16.917038,8.458519,0,0,51.228157,12.254904,0,0,0,13.566921,0.73491454,0.383385,0.15238246,105.36012,41.877052,0.45454547,1,0.45454547,5.6876111,0,0,30.233366,35.383869,0,88.215919,25.337055,26.21714,23.862217,98.155457,0,39.056938,0,107.08433,5.6876111,35.383869,0.46637034,5.5849624,3.2215941,18.574432,0,0,185.6776,8.458519,1038,0
Row9,O=C(OC)C=1[C@@H]2[C@@H]([C@@H](C)[C@@H](O)C2)[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O2)OC=1,55.276619,0,0,3,0,0,0,14,1.4841925,0,0,0,0,0,1.7472445,-2.9121199,0.53328627,2.853339,-2.5284979,-0.44342539,4,0.13793103,2,4,0,10,0,0.83408892,12,0,-0.80201083,-0.42009038,0.085441582,2.9749496,-0.95260513,-0.41208443,-0.006375155,-0.53733504,-0.24584462,0.1425578,9.9926395,-1.776924,-0.54634738,0,2.1035039,0,14,14,1,0,4.0247245,8.2183113,0,-2.096,0,16,1,0.081355579,0.10942704,59.120747,96.019661,19.619715,22.309816,14.708499,0,8.701313,18.747677,0,0,0,13.566921,0.63554859,0.2543923,0.17669208,89.868637,62.419647,0.5,1,0.62962961,7.7454643,117.25802,20.926258,13.232388,38.569443,0,19.701038,18.868406,33.326015,67.861771,126.92613,13.232388,52.581825,0,38.569443,28.671722,68.709885,0.40063059,5.8579812,3.3530941,21.07819,0,0,176.11908,46.629253,1766,0
